Group,N_total,tf,at_risk,events,fraction_frozen,S_T,FF_CI_lower,FF_CI_upper,K,K_CI_lower,K_CI_upper
Untreated,39,-15.53,15,3,0.6923076923076923,0.30769230769230765,0.5463981852967776,0.8274942471198119,1.1786549963416462,0.7905355259081177,1.7573246930367465
Untreated,39,-15.57,12,1,0.717948717948718,0.282051282051282,0.573489688240113,0.8473970269405495,1.2656663733312759,0.852118734711055,1.8799156776252979
Untreated,39,-15.6,11,4,0.8205128205128205,0.17948717948717946,0.687191472181552,0.9210269911863628,1.717651497074333,1.1621640078359048,2.538649145481262
Untreated,39,-15.67,7,1,0.8461538461538461,0.15384615384615383,0.7172610921510081,0.9375604442375245,1.8718021769015913,1.263231394290359,2.773556297990652
Untreated,39,-15.71,6,1,0.8717948717948718,0.1282051282051282,0.7481909695386662,0.9530927978755136,2.0541237336955462,1.3790842943877553,3.059584051897674
Untreated,39,-15.79,5,1,0.8974358974358975,0.10256410256410256,0.7801538511964599,0.967400460153707,2.277267285009756,1.5148273008908726,3.4234571058534797
Untreated,39,-15.82,4,1,0.9230769230769231,0.07692307692307693,0.813398054527047,0.9801371130979178,2.564949357461537,1.6787775647231735,3.91890226828663
Untreated,39,-15.86,3,1,0.9487179487179487,0.05128205128205129,0.84826162372893,0.9907149117759524,2.9704144655697005,1.8855974498605146,4.679345582440422
Untreated,39,-15.9,2,1,0.9743589743589743,0.025641025641025644,0.8847328052628827,0.9979953736413263,3.663561646129646,2.1605024131178783,6.212297590366017
Untreated,39,-16.14,1,1,1.0,0.0,0.8847328052628827,1.0,inf,2.1605024131178783,inf
Dry_heat,46,-7.31,46,1,0.021739130434782608,0.9782608695652174,0.0030910049362506964,0.14447640291418384,0.02197890671877523,0.0030957919590278073,0.15604160322980087
Dry_heat,46,-10.66,45,1,0.043478260869565216,0.9565217391304348,0.01105417845979606,0.16285872314503158,0.04445176257083381,0.011115729911322564,0.17776243318408183
Dry_heat,46,-15.92,44,1,0.06521739130434782,0.9347826086956522,0.02151139820975223,0.18873097831250596,0.06744128079553253,0.021746140869705322,0.20915556385814466
Dry_heat,46,-21.04,43,1,0.08695652173913043,0.9130434782608696,0.0335552827773653,0.21531448227800587,0.09097177820572663,0.03413118091159294,0.2424722558339888
Dry_heat,46,-23.56,42,1,0.10869565217391304,0.891304347826087,0.04674336948071922,0.24163901409534527,0.11506932978478723,0.047871124570484445,0.2765957720008103
Dry_heat,46,-23.72,41,1,0.13043478260869565,0.8695652173913044,0.0608196353061623,0.2675062572916276,0.13976194237515874,0.06274773654311883,0.31130048050504955
Dry_heat,46,-24.06,40,1,0.15217391304347827,0.8478260869565218,0.07561983024716712,0.2928896256429001,0.16507975035944858,0.0786318528318785,0.3465685087823564
Dry_heat,46,-24.09,39,1,0.17391304347826086,0.8260869565217392,0.09103106932200444,0.31780775540136896,0.19105523676270922,0.09544436506096862,0.3824437772846803
Dry_heat,46,-24.17,38,1,0.1956521739130435,0.8043478260869567,0.10697187843769862,0.342290139493985,0.21772348384487053,0.11313720749027288,0.4189913863803215
Dry_heat,46,-25.0,37,1,0.21739130434782608,0.7826086956521741,0.12338128733691911,0.3663666581824089,0.24512245803298496,0.13168314435887546,0.45628481704828505
Dry_heat,46,-25.06,36,1,0.2391304347826087,0.7608695652173915,0.14021240305812843,0.3900644037174188,0.2732933349996813,0.1510699005393901,0.4944019072533473
Dry_heat,46,-25.23,35,1,0.2608695652173913,0.7391304347826089,0.15742839833870237,0.4134069338288455,0.3022808718729337,0.17129663323175084,0.5334239428783125
